country,indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Dominican Republic,Other alcoholic beverages,0,0,0,0,0.05,0.06,0.06,0.06,0.06,0.07
Ecuador,All types,3.97,4.12,3.87,3.7,3.66,3.56,3.54,3.64,3.77,3.88
Ecuador,Beer,1.34,1.5,1.64,1.76,1.82,1.92,2.1,2.17,2.4,2.62
Ecuador,Wine,0.03,0.05,0.04,0.05,0.05,0.04,0.05,0.07,0.04,0.04
Ecuador,Spirits,2.59,2.57,2.19,1.89,1.77,1.58,1.37,1.4,1.32,1.19
Ecuador,Other alcoholic beverages,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02
Egypt,All types,0.14,0.14,0.15,0.15,0.16,0.16,0.18,0.2,0.23,0.2
Egypt,Beer,0.06,0.06,0.07,0.07,0.08,0.09,0.1,0.11,0.11,0.11
Egypt,Wine,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.04
Egypt,Spirits,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.05
Egypt,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
El Salvador,All types,2.67,2.76,2.85,2.98,2.78,2.67,2.66,2.73,2.59,2.48
El Salvador,Beer,0.99,1.01,1.03,1.02,1.03,0.91,0.97,1,0.96,0.92
El Salvador,Wine,0.04,0.02,0.02,0.09,0.03,0.03,0.03,0.03,0.03,0.03
El Salvador,Spirits,1.64,1.73,1.79,1.87,1.72,1.74,1.66,1.69,1.6,1.53
El Salvador,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,All types,4.44,5.09,6.03,7.14,7.72,7.15,7.23,6.81,8.28,7.89
Equatorial Guinea,Beer,0.68,0.8,1.21,2.13,2.44,3.06,3.32,3.14,3.92,4.02
Equatorial Guinea,Wine,3.77,4.3,4.82,5.01,5.28,4.1,3.91,3.67,4.36,3.86
Equatorial Guinea,Spirits,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Eritrea,All types,0.9,0.67,0.9,0.61,0.71,1.07,0.97,1.23,0.17,0.47
Eritrea,Beer,0.53,0.5,0.47,0.45,0.59,0.62,0.5,0.38,0,0.25
Eritrea,Wine,0,0,0,0,0,0,0,0,0,0
